,featureNum,trainAcc_xgb,testAcc_xgb,MSE_xgb,MAE_xgb,MAPE_xgb,trainAcc_svm,testAcc_svm,MSE_svm,MAE_svm,MAPE_svm,trainAcc_xgb_hyp,testAcc_xgb_hyp,MSE_xgb_hyp,MAE_xgb_hyp,MAPE_xgb_hyp
0,1,0.5273047563123899,0.5006839945280438,1.1012311901504788,0.6716826265389877,190987125100527.47,0.5273047563123899,0.5006839945280438,1.1012311901504788,0.6716826265389877,190987125100527.47,0.4803288314738696,0.454172366621067,1.0642954856361149,0.7058823529411765,209469750110255.88
1,2,0.6605989430416911,0.5266757865937073,1.094391244870041,0.6511627906976745,147861000077827.75,0.45918966529653554,0.4582763337893297,1.103967168262654,0.7154582763337893,209469750110255.88,0.48091603053435117,0.4582763337893297,1.0465116279069768,0.6990424076607387,197148000103770.25
2,3,0.7915443335290664,0.5417236662106704,1.106703146374829,0.6388508891928865,190987125100527.44,0.4533176746917205,0.4528043775649795,1.1272229822161424,0.7250341997264022,215630625113498.72,0.48502642395772166,0.45690834473324216,1.0588235294117647,0.7031463748290013,197148000103770.25
3,4,1.0,0.9781121751025992,0.02188782489740082,0.02188782489740082,12321750006485.637,0.9894304169113329,0.9945280437756497,0.005471956224350205,0.005471956224350205,6160875003242.8125,0.5126247798003524,0.4842681258549932,0.948016415868673,0.652530779753762,184826250097284.6
4,5,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,18482625009728.45,0.987081620669407,0.9863201094391245,0.013679890560875513,0.013679890560875513,43126125022699.69,0.4961832061068702,0.4842681258549932,0.9562243502051984,0.655266757865937,184826250097284.6
5,6,1.0,0.9767441860465116,0.023255813953488372,0.023255813953488372,12321750006485.637,0.987081620669407,0.9863201094391245,0.013679890560875513,0.013679890560875513,43126125022699.69,0.48150322959483266,0.47332421340629277,1.0601915184678523,0.6935704514363885,184826250097284.6
6,7,1.0,0.9781121751025992,0.02188782489740082,0.02188782489740082,6160875003242.822,0.9876688197298884,0.987688098495212,0.012311901504787962,0.012311901504787962,36965250019456.875,0.5860246623605402,0.5677154582763337,0.8590971272229823,0.5663474692202463,184826250097284.6
7,8,1.0,0.9767441860465116,0.023255813953488372,0.023255813953488372,6160875003242.823,0.987081620669407,0.987688098495212,0.012311901504787962,0.012311901504787962,36965250019456.875,0.5513799177921316,0.5198358413132695,0.8823529411764706,0.6087551299589603,184826250097284.6
8,9,1.0,0.9740082079343365,0.025991792065663474,0.025991792065663474,12321750006485.637,0.9794480328831474,0.9808481532147743,0.019151846785225718,0.019151846785225718,67769625035670.94,0.5713446858485026,0.53077975376197,0.8303693570451436,0.5841313269493844,197148000103770.22
9,10,1.0,0.9726402188782489,0.027359781121751026,0.027359781121751026,12321750006485.637,0.9724016441573693,0.9740082079343365,0.025991792065663474,0.025991792065663474,86252250045399.38,0.5020551967116853,0.47058823529411764,1.015047879616963,0.6812585499316005,203308875107013.03
10,11,1.0,0.9740082079343365,0.025991792065663474,0.025991792065663474,12321750006485.637,0.9682912507339988,0.9699042407660738,0.030095759233926128,0.030095759233926128,86252250045399.38,0.5132119788608338,0.47332421340629277,1.0164158686730507,0.6826265389876881,184826250097284.62
11,12,1.0,0.9726402188782489,0.027359781121751026,0.027359781121751026,18482625009728.45,0.9577216676453317,0.9589603283173734,0.04103967168262654,0.04103967168262654,86252250045399.38,0.4967704051673517,0.47332421340629277,0.9917920656634747,0.6744186046511628,184826250097284.6
12,13,1.0,0.9740082079343365,0.025991792065663474,0.025991792065663474,18482625009728.45,0.9477392836171462,0.9384404924760602,0.06155950752393981,0.06155950752393981,86252250045399.38,0.49794480328831475,0.4774281805745554,0.9945280437756497,0.6716826265389877,184826250097284.6
13,14,1.0,0.9740082079343365,0.025991792065663474,0.025991792065663474,18482625009728.45,0.9401056958308867,0.93296853625171,0.06703146374829001,0.06703146374829001,86252250045399.38,0.5572519083969466,0.5280437756497948,0.9534883720930233,0.625170998632011,203308875107013.03
14,15,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,12321750006485.637,0.9401056958308867,0.93296853625171,0.06703146374829001,0.06703146374829001,86252250045399.38,0.5049911920140928,0.4637482900136799,1.0601915184678523,0.7017783857729138,190987125100527.44
15,16,1.0,0.9740082079343365,0.025991792065663474,0.025991792065663474,18482625009728.45,0.9401056958308867,0.93296853625171,0.06703146374829001,0.06703146374829001,86252250045399.38,0.5149735760422783,0.4746922024623803,1.0287277701778386,0.6839945280437757,197148000103770.25
16,17,1.0,0.9740082079343365,0.030095759233926128,0.027359781121751026,12321750006485.637,0.9389312977099237,0.93296853625171,0.06703146374829001,0.06703146374829001,86252250045399.38,0.5202583675866118,0.478796169630643,0.987688098495212,0.667578659370725,197148000103770.22
17,18,1.0,0.9726402188782489,0.03146374829001368,0.028727770177838577,18482625009728.45,0.9389312977099237,0.93296853625171,0.06703146374829001,0.06703146374829001,86252250045399.38,0.4838520258367587,0.46101231190150477,1.0013679890560876,0.6839945280437757,203308875107013.03
18,19,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,12321750006485.637,0.8672930123311803,0.8440492476060192,0.17236662106703146,0.16142270861833105,92413125048642.28,0.48326482677627713,0.4582763337893297,1.0807113543091655,0.7113543091655267,184826250097284.6
19,20,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,18482625009728.45,0.8655314151497357,0.8440492476060192,0.17236662106703146,0.16142270861833105,92413125048642.28,0.5002935995302408,0.4692202462380301,1.0218878248974008,0.6853625170998632,197148000103770.22
20,21,1.0,0.9726402188782489,0.027359781121751026,0.027359781121751026,18482625009728.45,0.8661186142102173,0.8467852257181943,0.22298221614227087,0.17647058823529413,172504500090798.84,0.48150322959483266,0.4637482900136799,1.0027359781121752,0.6826265389876881,203308875107013.03
21,22,1.0,0.9726402188782489,0.03146374829001368,0.028727770177838577,18482625009728.45,0.8655314151497357,0.8481532147742818,0.2216142270861833,0.17510259917920656,172504500090798.84,0.5049911920140928,0.46785225718194257,1.0341997264021887,0.6894664842681258,197148000103770.25
22,23,1.0,0.9726402188782489,0.03146374829001368,0.028727770177838577,18482625009728.45,0.8655314151497357,0.8481532147742818,0.2216142270861833,0.17510259917920656,172504500090798.84,0.4867880211391662,0.46238030095759236,1.0177838577291383,0.6894664842681258,184826250097284.6
23,24,1.0,0.9726402188782489,0.03146374829001368,0.028727770177838577,18482625009728.45,0.8661186142102173,0.8481532147742818,0.2216142270861833,0.17510259917920656,172504500090798.84,0.49559600704638873,0.47058823529411764,1.0820793433652531,0.7017783857729138,197148000103770.22
24,25,1.0,0.9726402188782489,0.027359781121751026,0.027359781121751026,24643500012971.26,0.8661186142102173,0.8481532147742818,0.2216142270861833,0.17510259917920656,172504500090798.84,0.5231943628890193,0.4774281805745554,1.0218878248974008,0.679890560875513,197148000103770.22
25,26,1.0,0.9740082079343365,0.025991792065663474,0.025991792065663474,18482625009728.45,0.8661186142102173,0.8467852257181943,0.22298221614227087,0.17647058823529413,172504500090798.84,0.4908984145625367,0.4692202462380301,1.0109439124487005,0.6826265389876881,184826250097284.6
26,27,1.0,0.9726402188782489,0.03146374829001368,0.028727770177838577,18482625009728.45,0.8661186142102173,0.8440492476060192,0.22571819425444598,0.17920656634746923,172504500090798.84,0.5143863769817968,0.4801641586867305,1.0451436388508892,0.6839945280437757,209469750110255.84
27,28,1.0,0.9726402188782489,0.03146374829001368,0.028727770177838577,18482625009728.45,0.8667058132706987,0.8440492476060192,0.22571819425444598,0.17920656634746923,172504500090798.84,0.4803288314738696,0.45554035567715456,1.0287277701778386,0.6976744186046512,184826250097284.6
28,29,1.0,0.9726402188782489,0.03146374829001368,0.028727770177838577,18482625009728.45,0.8667058132706987,0.8440492476060192,0.22571819425444598,0.17920656634746923,172504500090798.84,0.4938344098649442,0.46785225718194257,1.084815321477428,0.7045143638850889,197148000103770.22
